Item Size,Overall Fit,Height,Bust,Waist,Hips,Bra,size
Item Size: M,Overall Fit: True to Size,159,84,68,94,34,92
Item Size: M,Overall Fit: True to Size,160,87,77,102,34,88
Item Size: M,Overall Fit: True to Size,171,87,67,86,34,76
Item Size: M,Overall Fit: True to Size,165,87,71,90,34,84
Item Size: M,Overall Fit: True to Size,164,96,76,102,36,85
Item Size: M,Overall Fit: True to Size,138,92,75,102,38,85
Item Size: M,Overall Fit: True to Size,149,82,71,87,32,75
Item Size: M,Overall Fit: True to Size,165,90,73,99,32,87
Item Size: M,Overall Fit: True to Size,138,75,67,84,32,84
Item Size: M,Overall Fit: True to Size,144,94,68,85,34,89
Item Size: M,Overall Fit: True to Size,152,70,60,80,36,94
Item Size: M,Overall Fit: True to Size,154,91,72,91,34,88
Item Size: M,Overall Fit: True to Size,152,87,64,91,34,83
Item Size: M,Overall Fit: True to Size,153,88,71,94,34,94
Item Size: M,Overall Fit: True to Size,143,70,60,84,34,98
Item Size: M,Overall Fit: True to Size,160,94,74,94,36,83
Item Size: M,Overall Fit: True to Size,159,92,77,97,36,90
Item Size: M,Overall Fit: True to Size,161,92,66,96,34,99
Item Size: M,Overall Fit: True to Size,137,70,60,80,32,84
Item Size: M,Overall Fit: True to Size,137,71,77,90,34,88
Item Size: M,Overall Fit: True to Size,162,84,66,87,34,93
Item Size: M,Overall Fit: True to Size,147,86,71,90,36,87
