,Item Size,Overall Fit,Height,Bust,Waist,Hips,Bra,new
254,Item Size: M,Overall Fit: True to Size,154,91,63,93,81.28,0.6573051747585579
255,Item Size: M,Overall Fit: True to Size,162,84,69,89,81.28,0.6573051747585579
256,Item Size: M,Overall Fit: True to Size,171,94,74,91,91.44,0.6573051747585579
257,Item Size: M,Overall Fit: True to Size,164,71,62,91,86.36,0.6573051747585579
258,Item Size: M,Overall Fit: True to Size,167,84,77,110,86.36,0.6573051747585579
259,Item Size: M,Overall Fit: True to Size,149,71,62,82,86.36,0.6573051747585579
260,Item Size: M,Overall Fit: True to Size,160,71,69,80,86.36,0.6573051747585579
261,Item Size: M,Overall Fit: True to Size,160,71,61,81,86.36,0.6573051747585579
262,Item Size: M,Overall Fit: True to Size,173,82,66,89,86.36,0.6573051747585579
263,Item Size: M,Overall Fit: True to Size,170,87,71,97,86.36,0.6573051747585579
264,Item Size: M,Overall Fit: True to Size,158,82,61,88,81.28,0.6573051747585579
265,Item Size: M,Overall Fit: True to Size,169,89,61,98,81.28,0.6573051747585579
266,Item Size: M,Overall Fit: True to Size,153,89,76,95,86.36,0.6573051747585579
267,Item Size: M,Overall Fit: True to Size,157,87,68,93,86.36,0.6573051747585579
268,Item Size: M,Overall Fit: True to Size,158,86,63,89,86.36,0.6573051747585579
269,Item Size: M,Overall Fit: True to Size,140,70,61,80,81.28,0.6573051747585579
270,Item Size: M,Overall Fit: True to Size,178,86,66,94,91.44,0.6573051747585579
271,Item Size: M,Overall Fit: True to Size,170,90,74,94,81.28,0.6573051747585579
272,Item Size: M,Overall Fit: True to Size,160,93,68,86,86.36,0.6573051747585579
273,Item Size: M,Overall Fit: True to Size,165,83,67,80,81.28,0.6573051747585579
274,Item Size: M,Overall Fit: True to Size,157,92,69,95,91.44,0.6573051747585579
275,Item Size: M,Overall Fit: True to Size,157,92,69,95,91.44,0.6573051747585579
276,Item Size: M,Overall Fit: True to Size,168,89,80,106,91.44,0.6573051747585579
277,Item Size: M,Overall Fit: True to Size,177,87,71,99,86.36,0.6573051747585579
278,Item Size: M,Overall Fit: True to Size,170,82,68,84,86.36,0.6573051747585579
279,Item Size: M,Overall Fit: True to Size,173,89,74,85,91.44,0.6573051747585579
280,Item Size: M,Overall Fit: True to Size,138,78,72,85,86.36,0.6573051747585579
281,Item Size: M,Overall Fit: True to Size,162,82,70,88,81.28,0.6573051747585579
282,Item Size: M,Overall Fit: True to Size,137,86,71,109,86.36,0.6573051747585579
283,Item Size: M,Overall Fit: True to Size,138,71,60,80,81.28,0.6573051747585579
284,Item Size: M,Overall Fit: True to Size,154,79,66,90,81.28,0.6573051747585579
285,Item Size: M,Overall Fit: True to Size,165,83,70,88,86.36,0.6573051747585579
286,Item Size: M,Overall Fit: True to Size,144,89,68,80,81.28,0.6573051747585579
287,Item Size: M,Overall Fit: True to Size,150,88,71,99,86.36,0.6573051747585579
288,Item Size: M,Overall Fit: True to Size,152,70,64,93,91.44,0.6573051747585579
289,Item Size: M,Overall Fit: True to Size,155,82,66,102,81.28,0.6573051747585579
290,Item Size: M,Overall Fit: True to Size,164,87,64,87,86.36,0.6573051747585579
291,Item Size: L,Overall Fit: True to Size,161,86,71,88,86.36,1.6893060530026707
292,Item Size: L,Overall Fit: True to Size,139,73,64,84,91.44,1.6893060530026707
293,Item Size: L,Overall Fit: True to Size,137,70,60,80,81.28,1.6893060530026707
294,Item Size: L,Overall Fit: True to Size,155,79,66,91,81.28,1.6893060530026707
295,Item Size: L,Overall Fit: True to Size,165,93,70,99,91.44,1.6893060530026707
296,Item Size: L,Overall Fit: True to Size,161,96,72,98,81.28,1.6893060530026707
297,Item Size: L,Overall Fit: True to Size,164,94,70,101,91.44,1.6893060530026707
298,Item Size: L,Overall Fit: True to Size,146,103,78,104,91.44,1.6893060530026707
299,Item Size: L,Overall Fit: True to Size,155,98,77,98,91.44,1.6893060530026707
300,Item Size: L,Overall Fit: True to Size,160,78,73,82,81.28,1.6893060530026707
301,Item Size: L,Overall Fit: True to Size,172,91,71,102,86.36,1.6893060530026707
302,Item Size: L,Overall Fit: True to Size,172,91,71,102,86.36,1.6893060530026707
303,Item Size: L,Overall Fit: True to Size,163,91,70,103,91.44,1.6893060530026707
304,Item Size: L,Overall Fit: True to Size,150,77,61,85,81.28,1.6893060530026707
305,Item Size: L,Overall Fit: True to Size,170,100,75,100,91.44,1.6893060530026707
306,Item Size: L,Overall Fit: True to Size,137,81,69,80,86.36,1.6893060530026707
307,Item Size: L,Overall Fit: True to Size,137,104,80,115,96.52,1.6893060530026707
308,Item Size: L,Overall Fit: True to Size,137,70,60,80,96.52,1.6893060530026707
309,Item Size: L,Overall Fit: True to Size,137,87,68,92,86.36,1.6893060530026707
310,Item Size: L,Overall Fit: True to Size,163,87,69,88,86.36,1.6893060530026707
311,Item Size: L,Overall Fit: True to Size,168,84,74,95,86.36,1.6893060530026707
312,Item Size: L,Overall Fit: True to Size,173,90,70,93,86.36,1.6893060530026707
313,Item Size: L,Overall Fit: True to Size,169,105,70,97,91.44,1.6893060530026707
314,Item Size: L,Overall Fit: True to Size,165,87,74,90,86.36,1.6893060530026707
315,Item Size: L,Overall Fit: True to Size,165,87,74,90,86.36,1.6893060530026707
316,Item Size: L,Overall Fit: True to Size,162,101,60,100,86.36,1.6893060530026707
317,Item Size: L,Overall Fit: True to Size,153,83,74,102,81.28,1.6893060530026707
318,Item Size: L,Overall Fit: True to Size,143,77,74,86,91.44,1.6893060530026707
319,Item Size: L,Overall Fit: True to Size,168,90,68,90,86.36,1.6893060530026707
320,Item Size: L,Overall Fit: True to Size,166,84,77,96,81.28,1.6893060530026707
321,Item Size: L,Overall Fit: True to Size,170,88,65,86,86.36,1.6893060530026707
322,Item Size: L,Overall Fit: True to Size,162,90,78,110,91.44,1.6893060530026707
